iter	RMSE
0	3.155567607
1	3.142274705
2	3.12926977
3	3.116406385
4	3.103623349
5	3.091158499
6	3.079071885
7	3.067030652
8	3.055165218
9	3.043484246
10	3.031975127
11	3.020564583
12	3.009470706
13	2.998529841
14	2.98774009
15	2.97705527
16	2.966672351
17	2.956301019
18	2.946121153
19	2.936107113
20	2.926280471
21	2.916663763
22	2.907080362
23	2.897738159
24	2.888514652
25	2.879451668
26	2.870576413
27	2.861839515
28	2.853228973
29	2.844774943
30	2.83646792
31	2.828331226
32	2.820328756
33	2.812408144
34	2.804682385
35	2.797106993
36	2.78961857
37	2.78218619
38	2.774944682
39	2.767868647
40	2.760909354
41	2.754054417
42	2.747251626
43	2.740617846
44	2.734052336
45	2.727584535
46	2.721262383
47	2.715011375
48	2.708929662
49	2.702966821
50	2.697078972
51	2.691302937
52	2.68561417
53	2.679993703
54	2.674468386
55	2.669029457
56	2.663713191
57	2.658502689
58	2.653333411
59	2.648271423
60	2.643324148
61	2.638485123
62	2.633749354
63	2.629023944
64	2.624385968
65	2.619842419
66	2.615453941
67	2.6111025
68	2.606767852
69	2.602579838
70	2.598445025
71	2.594464427
72	2.59051434
73	2.586646924
74	2.582812424
75	2.579014777
76	2.575332045
77	2.571681763
78	2.568155584
79	2.564601247
80	2.561112619
81	2.5577086
82	2.554380513
83	2.55111549
84	2.547875638
85	2.544693339
86	2.541582844
87	2.538568298
88	2.535560881
89	2.53261407
90	2.52974818
91	2.526953734
92	2.524158556
93	2.521432387
94	2.518803078
95	2.516184438
96	2.513607092
97	2.511061927
98	2.508570433
99	2.506143768
100	2.503763196
101	2.501478462
102	2.499141217
103	2.496867876
104	2.49464023
105	2.492498536
106	2.490410936
107	2.488286505
108	2.486205791
109	2.484189815
110	2.482176482
111	2.480196586
112	2.478293671
113	2.476425863
114	2.474565692
115	2.472810224
116	2.471034328
117	2.469261121
118	2.467598124
119	2.465919633
120	2.464253419
121	2.462626782
122	2.461040355
123	2.459493914
124	2.457950633
125	2.456462034
126	2.454976626
127	2.453524234
128	2.452096157
129	2.45071196
130	2.449326952
131	2.447981598
132	2.44667439
133	2.445355016
134	2.44407327
135	2.442808852
136	2.441577059
137	2.440409505
138	2.439208855
139	2.438029211
140	2.436905244
141	2.43578707
142	2.434688696
143	2.433630638
144	2.432572096
145	2.431518187
146	2.430504501
147	2.429515068
148	2.428534745
149	2.427576668
150	2.426616965
151	2.425685249
152	2.424808286
153	2.423932565
154	2.423069429
155	2.422180153
156	2.421336954
157	2.420517934
158	2.419702296
159	2.418914615
160	2.418129837
161	2.417372002
162	2.416620029
163	2.415877698
164	2.415147279
165	2.414424647
166	2.413739178
167	2.413060684
168	2.412374708
169	2.411709095
170	2.411054422
171	2.410424381
172	2.40980778
173	2.409213077
174	2.408616889
175	2.408025325
176	2.407434627
177	2.406904672
178	2.40633893
179	2.405790558
180	2.405255015
181	2.404698209
182	2.404177322
183	2.403677658
184	2.403188229
185	2.402692312
186	2.402216716
187	2.401740176
188	2.401285044
189	2.400835611
190	2.400372533
191	2.399923017
192	2.399484883
193	2.399085872
194	2.39867662
195	2.39827298
196	2.397855911
197	2.397436519
198	2.397067793
199	2.396682833
200	2.396315719
201	2.395946259
202	2.395539085
203	2.395172627
204	2.39483001
205	2.394485918
206	2.394163694
207	2.393840481
208	2.393517257
209	2.393212273
210	2.392882575
211	2.392594663
212	2.392299842
213	2.39201623
214	2.391743671
215	2.391441917
216	2.391141593
217	2.390877067
218	2.390593776
219	2.390340345
220	2.390079723
221	2.389825312
222	2.38958737
223	2.389334015
224	2.389063579
225	2.388815389
226	2.388585891
227	2.388352404
228	2.3881229
229	2.387899529
230	2.38766873
231	2.387455525
232	2.38723627
233	2.387033334
234	2.38679359
235	2.386552011
236	2.386364161
237	2.38615246
238	2.385973299
239	2.385796947
240	2.385575928
241	2.385406543
242	2.38521802
243	2.385045364
244	2.384851153
245	2.384677853
246	2.38450875
247	2.384318637
248	2.384166032
249	2.384013214
250	2.383829206
251	2.383673258
252	2.383493352
253	2.383303748
254	2.383166887
255	2.382959013
256	2.382825069
257	2.382669214
258	2.382524268
259	2.382323856
260	2.38214234
261	2.382027485
262	2.381900069
263	2.381760302
264	2.381613501
265	2.38147305
266	2.381306703
267	2.381153663
268	2.381007845
269	2.380883756
270	2.380726746
271	2.380588476
272	2.380490825
273	2.380368773
274	2.380267776
275	2.380159518
276	2.379994917
277	2.379793809
278	2.379704512
279	2.379602426
280	2.379490215
281	2.379347279
282	2.379180104
283	2.37904343
284	2.378929432
285	2.378790127
286	2.378697573
287	2.378620422
288	2.378500252
289	2.37832967
290	2.378259622
291	2.378156041
292	2.37805226
293	2.377934924
294	2.377820164
295	2.377704592
296	2.377580717
297	2.377456407
298	2.377329378
299	2.377247088
300	2.377149096
301	2.37707403
302	2.376959682
303	2.37683189
304	2.376754658
305	2.37668956
306	2.376622596
307	2.376555664
308	2.376459513
309	2.376336971
310	2.376232811
311	2.376124418
312	2.376026193
313	2.375927733
314	2.375847562
315	2.37575042
316	2.375653858
317	2.37550288
318	2.375384873
319	2.375302524
320	2.375183148
321	2.375102151
322	2.374996524
323	2.374902936
324	2.374835092
325	2.374721489
326	2.374662796
327	2.37457032
328	2.374457707
329	2.374338325
330	2.374251099
331	2.374207202
332	2.374127045
333	2.374071107
334	2.373993338
335	2.373944783
336	2.373881597
337	2.373785213
338	2.373730083
339	2.373663434
340	2.373583424
341	2.373523721
342	2.373459336
343	2.373383444
344	2.373315722
345	2.373270028
346	2.373186453
347	2.373115548
348	2.37303346
349	2.372941775
350	2.372855501
351	2.372762923
352	2.372707354
353	2.372650804
354	2.372538494
355	2.372482398
356	2.372435338
357	2.372359097
358	2.372281981
359	2.372226185
360	2.372145717
361	2.372059206
362	2.37197607
363	2.371895412
364	2.371814837
365	2.371710676
366	2.37163174
367	2.371557686
368	2.371499259
369	2.37142863
370	2.371380737
371	2.371285705
372	2.371187852
373	2.371116395
374	2.371019398
375	2.370960041
376	2.370890045
377	2.370833215
378	2.370762996
379	2.370670609
380	2.370597291
381	2.370531955
382	2.370489778
383	2.370419962
384	2.3703335
385	2.370283401
386	2.370188176
387	2.370148225
388	2.370058406
389	2.370029388
390	2.369971103
391	2.369930764
392	2.369843837
393	2.369802162
394	2.369761821
395	2.369694255
396	2.369633129
397	2.369558357
398	2.369469012
399	2.369380234
400	2.369344697
401	2.369306663
402	2.369211011
403	2.369159858
404	2.369102835
405	2.368995295
406	2.368919239
407	2.368891954
408	2.36884287
409	2.368742448
410	2.368692042
411	2.36864054
412	2.368547031
413	2.368482224
414	2.368425411
415	2.36836246
416	2.368280003
417	2.368225515
418	2.368148399
419	2.368107731
420	2.368076897
421	2.368053822
422	2.367994394
423	2.367971098
424	2.367894672
425	2.36780793
426	2.367777805
427	2.367694494
428	2.367662619
429	2.367596474
430	2.36754953
431	2.367468018
432	2.367422783
433	2.367374767
434	2.367288292
435	2.367162281
436	2.367092459
437	2.367000284
438	2.366909285
439	2.36683815
440	2.366741526
441	2.36669229
442	2.366665249
443	2.366594151
444	2.366578161
445	2.366493339
446	2.366447015
447	2.366402998
448	2.366377839
449	2.366307682
450	2.366242714
451	2.366188079
452	2.366149151
453	2.366101061
454	2.365977208
455	2.365924125
456	2.365849011
457	2.365794326
458	2.365723865
459	2.365678247
460	2.365655194
461	2.365599317
462	2.365521303
463	2.365419224
464	2.365326922
465	2.365244212
466	2.36522451
467	2.365190725
468	2.365140335
469	2.365090679
470	2.365061651
471	2.364976242
472	2.364913747
473	2.364855719
474	2.364795796
475	2.364755952
476	2.36466665
477	2.364628582
478	2.364610419
479	2.364587198
480	2.364515942
481	2.364393114
482	2.3643598
483	2.364315338
484	2.364257812
485	2.364206279
486	2.364123418
487	2.364076269
488	2.363987117
489	2.363924976
490	2.363888033
491	2.363815575
492	2.363765262
493	2.363731004
494	2.363667238
495	2.363570219
496	2.363501084
497	2.363484996
498	2.363425626
499	2.363318589
500	2.363261886
501	2.363238593
502	2.363172649
503	2.363086115
504	2.3630371
505	2.362943875
506	2.36291496
507	2.362850452
508	2.362807805
509	2.362764736
510	2.362715405
511	2.3626223
512	2.362581796
513	2.362525053
514	2.362485331
515	2.36245793
516	2.362390839
517	2.362342632
518	2.362325106
519	2.362234106
520	2.362210283
521	2.362114755
522	2.362032251
523	2.36197009
524	2.361948068
525	2.361889641
526	2.361836181
527	2.361736432
528	2.361667628
529	2.361594867
530	2.361553649
531	2.361488962
532	2.361419238
533	2.361330757
534	2.361275284
535	2.361237613
536	2.361205872
537	2.361138189
538	2.361078762
539	2.361024045
540	2.360945259
541	2.360876388
542	2.360820274
543	2.3607787
544	2.360750677
545	2.360682026
546	2.360579546
547	2.360531924
548	2.360485028
549	2.360413773
550	2.360368766
551	2.36031429
552	2.360268907
553	2.3602262
554	2.360124813
555	2.360088084
556	2.35999981
557	2.359932207
