iter	Passed	Remaining
0	239	239618
1	269	134322
2	296	98621
3	325	81136
4	355	70735
5	387	64214
6	419	59485
7	459	56979
8	495	54532
9	517	51187
10	549	49401
11	582	47969
12	614	46652
13	643	45297
14	670	44053
15	695	42795
16	721	41699
17	747	40755
18	774	39985
19	801	39278
20	826	38521
21	854	37964
22	881	37462
23	906	36846
24	932	36356
25	957	35852
26	984	35466
27	1015	35253
28	1040	34830
29	1067	34529
30	1092	34150
31	1119	33876
32	1153	33806
33	1188	33769
34	1230	33936
35	1269	33984
36	1304	33948
37	1336	33835
38	1370	33766
39	1387	33288
40	1418	33184
41	1451	33101
42	1486	33090
43	1521	33053
44	1554	32990
45	1587	32931
46	1623	32913
47	1654	32824
48	1690	32803
49	1722	32720
50	1757	32695
51	1793	32689
52	1826	32635
53	1863	32650
54	1900	32649
55	1941	32726
56	1982	32796
57	2028	32952
58	2073	33071
59	2108	33038
60	2141	32957
61	2170	32839
62	2203	32765
63	2233	32672
64	2266	32603
65	2300	32554
66	2332	32481
67	2364	32409
68	2398	32358
69	2432	32318
70	2467	32285
71	2501	32240
72	2533	32177
73	2565	32106
74	2597	32037
75	2628	31958
76	2658	31865
77	2689	31786
78	2718	31697
79	2746	31590
80	2778	31526
81	2807	31426
82	2835	31323
83	2862	31213
84	2889	31103
85	2917	31011
86	2945	30910
87	2972	30801
88	3000	30716
89	3026	30603
90	3053	30500
91	3080	30399
92	3107	30302
93	3133	30206
94	3161	30116
95	3191	30049
96	3220	29985
97	3255	29965
98	3291	29956
99	3328	29960
100	3361	29916
101	3388	29835
102	3420	29788
103	3450	29724
104	3481	29676
105	3508	29591
106	3535	29504
107	3563	29428
108	3593	29371
109	3622	29309
110	3656	29282
111	3686	29227
112	3713	29145
113	3742	29088
114	3770	29020
115	3797	28942
116	3824	28861
117	3852	28792
118	3866	28625
119	3895	28564
120	3921	28488
121	3947	28410
122	3973	28333
123	4001	28268
124	4026	28188
125	4050	28099
126	4076	28023
127	4102	27947
128	4128	27877
129	4153	27798
130	4178	27719
131	4204	27648
132	4230	27574
133	4255	27503
134	4281	27432
135	4307	27364
136	4331	27285
137	4356	27213
138	4381	27138
139	4408	27082
140	4437	27036
141	4464	26976
142	4491	26918
143	4526	26909
144	4547	26811
145	4576	26771
146	4606	26727
147	4638	26700
148	4671	26682
149	4704	26657
150	4732	26608
151	4763	26575
152	4789	26516
153	4816	26457
154	4843	26405
155	4871	26353
156	4897	26294
157	4923	26239
158	4951	26188
159	4978	26137
160	5003	26075
161	5028	26013
162	5054	25953
163	5081	25904
164	5107	25845
165	5134	25798
166	5164	25759
167	5193	25719
168	5222	25678
169	5250	25635
170	5281	25602
171	5307	25551
172	5333	25494
173	5357	25434
174	5385	25389
175	5416	25358
176	5446	25324
177	5455	25193
178	5487	25168
179	5513	25118
180	5538	25062
181	5564	25011
182	5589	24955
183	5615	24904
184	5640	24850
185	5669	24813
186	5697	24769
187	5721	24713
188	5746	24660
189	5771	24605
190	5797	24556
191	5826	24519
192	5851	24465
193	5877	24417
194	5901	24362
195	5927	24314
196	5952	24262
197	5979	24220
198	6008	24183
199	6035	24143
200	6065	24110
201	6096	24083
202	6123	24041
203	6150	23997
204	6177	23956
205	6206	23920
206	6232	23874
207	6257	23826
208	6284	23785
209	6316	23763
210	6348	23739
211	6373	23689
212	6399	23645
213	6424	23596
214	6450	23552
215	6475	23502
216	6500	23455
217	6526	23412
218	6552	23366
219	6577	23321
220	6603	23276
221	6628	23230
222	6653	23183
223	6678	23136
224	6702	23087
225	6731	23052
226	6756	23006
227	6779	22956
228	6806	22916
229	6831	22869
230	6858	22830
231	6885	22794
232	6904	22728
233	6934	22699
234	6963	22669
235	6993	22640
236	7022	22606
237	7049	22569
238	7075	22529
239	7100	22484
240	7125	22440
241	7151	22399
242	7177	22359
243	7205	22324
244	7230	22281
245	7258	22248
246	7284	22207
247	7312	22173
248	7341	22142
249	7371	22114
250	7399	22082
251	7425	22040
252	7450	21998
253	7478	21964
254	7504	21924
255	7529	21881
256	7555	21843
257	7581	21803
258	7608	21767
259	7633	21725
260	7660	21689
261	7686	21651
262	7711	21610
263	7737	21570
264	7761	21528
265	7788	21491
266	7815	21455
267	7840	21414
268	7870	21386
269	7901	21362
270	7929	21330
271	7959	21302
272	7989	21275
273	8018	21245
274	8043	21205
275	8069	21167
276	8095	21129
277	8121	21091
278	8146	21053
279	8172	21016
280	8199	20981
281	8224	20940
282	8249	20900
283	8274	20861
284	8303	20830
285	8331	20799
286	8355	20758
287	8381	20720
288	8406	20680
289	8431	20641
290	8455	20600
291	8480	20563
292	8504	20521
293	8530	20485
294	8555	20446
295	8571	20387
296	8596	20348
297	8621	20309
298	8647	20272
299	8671	20233
300	8698	20199
301	8722	20160
302	8748	20124
303	8774	20089
304	8804	20061
305	8829	20024
306	8855	19989
307	8880	19953
308	8904	19913
309	8933	19883
310	8965	19863
311	8998	19842
312	9027	19815
313	9057	19789
314	9085	19758
315	9112	19724
316	9140	19694
317	9166	19659
318	9193	19625
319	9219	19591
320	9245	19555
321	9272	19523
322	9298	19490
323	9324	19455
324	9349	19418
325	9374	19382
326	9398	19343
327	9423	19305
328	9446	19266
329	9472	19231
330	9496	19193
331	9521	19157
332	9546	19122
333	9572	19088
334	9596	19049
335	9621	19014
336	9645	18976
337	9673	18946
338	9697	18909
339	9723	18874
340	9747	18837
341	9772	18802
342	9797	18766
343	9822	18730
344	9846	18694
345	9871	18659
346	9897	18625
347	9922	18590
348	9949	18558
349	9977	18529
350	10006	18501
351	10039	18481
352	10088	18491
353	10120	18468
354	10152	18446
355	10185	18425
356	10219	18405
357	10251	18383
358	10282	18360
359	10314	18336
360	10343	18308
361	10370	18276
362	10397	18245
363	10423	18213
364	10450	18181
365	10476	18147
366	10502	18114
367	10528	18081
368	10554	18048
369	10580	18015
370	10605	17980
371	10632	17949
372	10657	17915
373	10684	17883
374	10710	17850
375	10785	17899
376	10818	17877
377	10847	17849
378	10878	17824
379	10903	17789
380	10930	17757
381	10955	17723
382	10981	17691
383	11007	17657
384	11034	17625
385	11060	17593
386	11085	17558
387	11111	17526
388	11137	17493
389	11166	17464
390	11192	17433
391	11217	17399
392	11244	17366
393	11269	17334
394	11295	17301
395	11321	17268
396	11347	17235
397	11373	17202
398	11398	17168
399	11476	17214
400	11507	17189
401	11531	17154
402	11558	17122
403	11584	17090
404	11610	17057
405	11637	17025
406	11662	16992
407	11688	16959
408	11713	16926
409	11742	16897
410	11770	16867
411	11798	16838
412	11825	16807
413	11854	16780
414	11879	16745
415	11905	16713
416	11932	16682
417	11959	16651
418	11987	16622
419	12013	16589
420	12039	16558
421	12050	16504
422	12076	16473
423	12103	16442
424	12129	16410
425	12155	16378
426	12183	16348
427	12216	16326
428	12246	16299
429	12282	16281
430	12316	16259
431	12344	16230
432	12375	16205
433	12409	16183
434	12438	16155
435	12468	16128
436	12498	16101
437	12525	16071
438	12554	16042
439	12583	16015
440	12613	15988
441	12639	15957
442	12667	15927
443	12694	15896
444	12722	15867
445	12753	15841
446	12788	15821
447	12831	15809
448	12841	15758
449	12882	15744
450	12923	15731
451	12964	15717
452	13000	15697
453	13036	15678
454	13073	15659
455	13106	15635
456	13190	15672
457	13235	15662
458	13276	15647
459	13308	15622
460	13338	15595
461	13369	15569
462	13399	15541
463	13428	15511
464	13457	15483
465	13485	15453
466	13494	15401
467	13524	15374
468	13552	15343
469	13580	15314
470	13607	15283
471	13635	15253
472	13664	15224
473	13692	15194
474	13721	15165
475	13749	15135
476	13781	15110
477	13810	15081
478	13819	15030
479	13847	15001
480	13874	14970
481	13901	14939
482	13929	14909
483	13957	14879
484	13985	14850
485	14012	14819
486	14045	14795
487	14080	14772
488	14112	14747
489	14145	14723
490	14178	14698
491	14210	14673
492	14242	14646
493	14272	14619
494	14301	14590
495	14329	14560
496	14355	14529
497	14382	14497
498	14408	14466
499	14435	14435
500	14462	14404
501	14487	14372
